,New_ID,ID,COUNTY
177,288,263,Safe Node
178,289,264,Interchange
179,290,265,Interchange
180,291,267,Interchange
181,292,272,Interchange
182,293,274,Interchange
183,294,277,Interchange
184,295,280,Interchange
185,296,282,Interchange
186,297,283,Interchange
187,298,285,Interchange
188,299,286,Interchange
189,300,287,Interchange
190,301,288,Interchange
191,302,293,Interchange
192,303,294,Interchange
193,304,296,Interchange
194,305,301,Interchange
195,306,302,Interchange
196,307,303,Interchange
197,308,306,Interchange
198,309,310,Interchange
199,310,312,Interchange
200,311,314,Interchange
201,312,315,Interchange
202,313,316,Interchange
203,314,317,Interchange
204,315,318,Interchange
205,316,319,Interchange
206,317,320,Interchange
207,318,321,Interchange
208,319,322,Interchange
209,320,323,Interchange
210,321,324,Interchange
211,322,325,Interchange
212,323,326,Interchange
213,324,327,Interchange
214,325,328,Interchange
215,326,329,Interchange
216,327,330,Interchange
217,328,331,Interchange
218,329,332,Interchange
219,330,333,Interchange
220,331,334,Interchange
221,332,335,Interchange
222,333,336,Interchange
223,334,337,Interchange
224,335,338,Interchange
225,336,339,Interchange
226,337,340,Interchange
227,338,342,Interchange
228,339,343,Interchange
229,340,344,Interchange
230,341,345,Interchange
231,342,346,Interchange
232,343,347,Interchange
233,344,348,Interchange
234,345,350,Interchange
235,346,351,Interchange
236,347,352,Interchange
237,348,353,Interchange
238,349,354,Interchange
239,350,355,Interchange
240,351,356,Interchange
241,352,357,Interchange
242,353,358,Interchange
243,354,359,Interchange
244,355,360,Interchange
245,356,361,Interchange
246,357,362,Interchange
247,358,363,Interchange
248,359,364,Interchange
249,360,366,Interchange
250,361,368,Interchange
251,362,369,Interchange
252,363,371,Interchange
253,364,372,Interchange
254,365,374,Interchange
255,366,375,Interchange
256,367,378,Interchange
257,368,379,Interchange
258,369,381,Interchange
259,370,383,Interchange
260,371,384,Interchange
261,372,386,Interchange
262,373,388,Interchange
263,374,390,Interchange
264,375,391,Interchange
265,376,395,Interchange
266,377,397,Interchange
267,378,398,Interchange
268,379,400,Interchange
269,380,401,Interchange
270,381,403,Interchange
271,382,404,Interchange
272,383,406,Interchange
273,384,407,Interchange
274,385,409,Interchange
275,386,410,Interchange
276,387,413,Interchange
277,388,414,Interchange
278,389,416,Interchange
279,390,418,Interchange
280,391,421,Interchange
281,392,422,Interchange
282,393,424,Interchange
283,394,426,Interchange
284,395,428,Interchange
285,396,430,Interchange
286,397,431,Interchange
287,398,433,Interchange
288,399,434,Interchange
289,400,436,Interchange
290,401,437,Interchange
291,402,439,Interchange
292,403,441,Interchange
293,404,444,Interchange
294,405,446,Interchange
295,406,447,Interchange
296,407,449,Interchange
