Node,X,Y
202,-94.70970153808594,32.44850158691406
203,-95.51069641113281,33.66490173339844
204,-94.9363021850586,32.54650115966797
29,-95.38619995117188,29.5856990814209
30,-95.45469665527344,29.05900001525879
50,-95.97000122070312,28.98270034790039
51,-96.06510162353516,29.63139915466309
633,-94.22920227050781,30.85050010681152
95,-94.8333969116211,29.28919982910156
100,-95.92169952392578,30.06900024414062
102,-95.56069946289062,29.78450012207031
148,-97.02559661865234,28.85700035095215
155,-97.8927993774414,28.86140060424805
161,-96.3290023803711,29.28610038757324
632,-96.07550048828125,30.11429977416992
636,-95.33159637451172,32.38090133666992
169,-95.34829711914062,28.93840026855469
181,-94.93560028076172,29.33040046691895
210,-94.04299926757812,32.46110153198242
230,-97.29000091552734,29.09379959106445
240,-96.9802017211914,30.66399955749512
335,-97.95089721679688,29.59939956665039
328,-94.66609954833984,31.68169975280762
249,-96.35890197753906,30.69650077819824
637,-95.30069732666016,32.30289840698242
254,-94.931396484375,29.32819938659668
324,-95.60810089111328,31.73640060424805
333,-96.93730163574219,30.18289947509766
34,-98.61799621582031,27.83300018310547
109,-98.4115982055664,26.23870086669922
117,-98.66310119628906,27.29829978942871
118,-98.52580261230469,26.71559906005859
120,-97.81529998779297,27.2992992401123
631,-98.12220001220703,26.55690002441406
131,-97.65350341796875,27.79229927062988
135,-98.67859649658203,27.30120086669922
136,-98.58940124511719,28.1338996887207
137,-97.62969970703125,27.85600090026855
217,-98.1874008178711,28.52930068969727
218,-98.13349914550781,26.4503002166748
73,-98.66490173339844,27.87360000610352
77,-98.61799621582031,27.88279914855957
221,-99.46900177001953,27.50230026245117
222,-98.6780014038086,27.31259918212891
331,-93.96920013427734,30.44169998168945
32,-97.5811996459961,26.08099937438965
33,-97.20590209960938,26.07819938659668
68,-97.285400390625,26.0935001373291
69,-97.61720275878906,26.11380004882812
110,-97.7146987915039,26.18239974975586
111,-98.1227035522461,26.55699920654297
112,-97.42620086669922,26.55890083312988
113,-97.47760009765625,25.8922004699707
114,-97.76909637451172,26.48200035095215
213,-98.18190002441406,26.20669937133789
634,-97.57980346679688,26.08090019226074
343,-98.43209838867188,29.05159950256348
342,-98.54910278320312,28.46139907836914
70,-98.14820098876953,26.29940032958984
71,-97.72699737548828,26.24850082397461
630,-98.14089965820312,27.22640037536621
116,-98.52189636230469,26.71999931335449
40,-97.51139831542969,25.92589950561523
41,-97.22720336914062,26.07360076904297
42,-97.38710021972656,28.66819953918457
43,-97.85820007324219,28.81430053710938
103,-97.39969635009766,27.79910087585449
127,-97.39859771728516,27.72159957885742
314,-94.35880279541016,32.4911003112793
316,-94.3385009765625,32.18239974975586
140,-97.52449798583984,28.05949974060059
138,-97.48300170898438,28.03650093078613
141,-98.40470123291016,29.3129997253418
142,-97.5250015258789,28.05879974365234
143,-96.88800048828125,28.45529937744141
144,-97.29910278320312,27.91010093688965
642,-97.62139892578125,27.86339950561523
224,-97.46959686279297,27.7819995880127
236,-97.26830291748047,28.32029914855957
237,-97.63079833984375,27.90019989013672
121,-98.09829711914062,27.55069923400879
122,-97.85600280761719,27.51569938659668
124,-98.06999969482422,27.74939918518066
125,-97.55590057373047,27.68770027160645
123,-98.40290069580078,27.60040092468262
251,-98.54940032958984,28.46150016784668
252,-98.18240356445312,28.4606990814209
106,-98.4301986694336,28.90620040893555
38,-98.42919921875,29.0531005859375
39,-98.47740173339844,29.01099967956543
132,-97.46910095214844,27.78650093078613
133,-97.29060363769531,27.67230033874512
339,-97.1249008178711,27.96829986572266
239,-97.10559844970703,27.95689964294434
318,-94.33889770507812,32.18209838867188
145,-97.38369750976562,28.63540077209473
146,-96.88809967041016,28.45509910583496
227,-97.32579803466797,29.06279945373535
301,-96.99700164794922,28.86359977722168
302,-96.92610168457031,28.81480026245117
303,-97.08679962158203,28.76049995422363
306,-97.0863037109375,28.76009941101074
149,-96.9645004272461,28.77790069580078
150,-96.6239013671875,28.61639976501465
264,-97.41529846191406,30.11260032653809
233,-97.69010162353516,30.03899955749512
234,-97.64759826660156,29.68050003051758
645,-98.14689636230469,26.2992000579834
235,-97.68319702148438,30.22220039367676
265,-97.30740356445312,30.10499954223633
46,-97.41719818115234,30.11100006103516
638,-95.27549743652344,32.38759994506836
44,-96.58699798583984,29.73769950866699
45,-96.53959655761719,29.69260025024414
31,-95.38749694824219,29.00169944763184
157,-96.21009826660156,28.93779945373535
158,-96.21040344238281,28.93779945373535
160,-96.28990173339844,29.22089958190918
348,-96.18779754638672,28.88419914245605
49,-96.18930053710938,28.88369941711426
27,-95.3927993774414,29.0049991607666
28,-95.2874984741211,28.95170021057129
62,-94.42220306396484,30.90620040893555
63,-94.26239776611328,30.84339904785156
97,-94.09760284423828,33.39509963989258
332,-95.55570220947266,29.87360000610352
174,-94.18229675292969,31.7672004699707
175,-94.19280242919922,30.21980094909668
192,-95.30069732666016,32.30419921875
193,-94.71040344238281,31.3700008392334
362,-94.82730102539062,30.99690055847168
195,-94.13610076904297,30.0930004119873
337,-97.27290344238281,28.31529998779297
267,-94.68299865722656,31.92519950866699
320,-94.23690032958984,31.94799995422363
296,-94.82569885253906,30.99690055847168
340,-98.1104965209961,27.74959945678711
327,-96.59200286865234,30.87719917297363
364,-96.63569641113281,28.60950088500977
185,-94.77149963378906,30.0580005645752
272,-95.3865966796875,29.59729957580566
360,-95.41400146484375,29.94070053100586
89,-95.77149963378906,29.99979972839355
164,-95.97789764404297,29.60390090942383
166,-95.88760375976562,29.57839965820312
287,-95.92169952392578,30.06889915466309
288,-95.55180358886719,29.87179946899414
334,-96.881103515625,29.92149925231934
167,-96.1520004272461,29.76490020751953
242,-95.88860321044922,29.57859992980957
243,-95.81420135498047,29.47389984130859
87,-95.62120056152344,29.597900390625
88,-95.6718978881836,29.5659008026123
8,-94.99659729003906,30.31909942626953
9,-94.88999938964844,30.04409980773926
79,-94.4032974243164,29.96520042419434
186,-94.78279876708984,30.05850028991699
187,-94.67070007324219,29.77569961547852
188,-94.60009765625,30.02879905700684
189,-94.68419647216797,29.76849937438965
23,-95.1552963256836,29.77129936218262
24,-94.89920043945312,29.82159996032715
36,-95.05049896240234,29.79070091247559
37,-94.98629760742188,29.74670028686523
274,-95.15350341796875,29.71199989318848
355,-96.07610321044922,31.45109939575195
81,-95.25039672851562,30.05789947509766
82,-95.13710021972656,30.27120018005371
338,-97.51950073242188,28.04949951171875
66,-95.29620361328125,29.93939971923828
640,-95.13369750976562,32.44100189208984
21,-95.09600067138672,30.34379959106445
22,-94.98999786376953,30.32180023193359
190,-94.38400268554688,29.82740020751953
191,-94.38899993896484,29.54940032958984
14,-94.77429962158203,30.05839920043945
78,-94.40789794921875,30.03779983520508
