Init_node,Term_node,u_f,Capacity,Length(ft),k_j
451,529,70,4000,90529.203125,480.0
450,451,60,2000,12649.099609375,240.0
452,263,55,4000,105514.0,480.0
452,154,60,2000,74324.5,240.0
453,226,75,4000,95091.1015625,480.0
454,453,70,4000,105218.0,480.0
455,302,55,4000,5071.919921875,480.0
456,455,75,4000,15018.599609375,480.0
457,149,75,2000,3126.889892578125,240.0
456,457,75,2000,6408.10009765625,240.0
458,543,75,2000,163419.0,240.0
459,458,40,2000,12040.0,240.0
460,536,65,2000,150633.0,240.0
459,460,75,2000,156956.0,240.0
461,523,75,4000,126037.0,480.0
462,461,75,2000,21078.099609375,240.0
463,326,70,2000,24985.19921875,240.0
462,463,75,2000,158229.0,240.0
464,582,75,2000,71959.203125,240.0
465,464,30,2000,3773.5400390625,240.0
465,71,45,2000,94122.1015625,240.0
466,615,60,2000,115825.0,240.0
467,466,55,4000,5553.52978515625,480.0
468,617,70,2000,115249.0,240.0
467,468,70,2000,100169.0,240.0
469,521,75,8000,137104.0,960.0
470,469,45,4000,4096.02001953125,480.0
471,354,55,2000,122796.0,240.0
472,181,50,4000,3560.320068359375,480.0
471,472,55,4000,26894.80078125,480.0
473,352,65,8000,30325.900390625,960.0
474,473,45,6000,29605.5,720.0
475,360,60,8000,32615.5,960.0
474,475,60,4000,2375.14990234375,480.0
477,476,35,4000,21063.900390625,480.0
477,277,55,2000,9649.4296875,240.0
478,346,60,2000,133242.0,240.0
479,478,55,4000,1813.829956054688,480.0
480,563,70,2000,47593.0,240.0
479,480,55,2000,98250.203125,240.0
481,301,75,4000,37306.0,480.0
482,481,75,2000,131814.0,240.0
483,357,70,4000,167880.0,480.0
482,483,55,2000,279.6470031738281,240.0
484,453,75,4000,144231.0,480.0
485,484,75,4000,4765.330078125,480.0
486,45,65,2000,25836.900390625,240.0
487,486,75,2000,7380.169921875,240.0
488,51,55,4000,16710.69921875,480.0
487,488,70,2000,138464.0,240.0
489,413,70,2000,215116.0,240.0
490,489,70,4000,1506.739990234375,480.0
491,174,55,2000,13538.2001953125,240.0
490,491,55,2000,2857.77001953125,240.0
492,176,75,4000,52208.6015625,480.0
493,535,75,2000,101159.0,240.0
492,493,75,4000,17103.19921875,480.0
494,96,70,6000,110769.0,720.0
495,494,65,2000,46666.80078125,240.0
495,325,55,2000,147004.0,240.0
496,262,60,4000,36584.6015625,480.0
497,496,80,2000,40610.30078125,240.0
498,211,75,4000,143952.0,480.0
499,498,75,2000,2378.030029296875,240.0
500,466,75,4000,95262.796875,480.0
499,500,70,2000,104979.0,240.0
501,378,70,2000,112032.0,240.0
502,632,75,4000,129118.0,480.0
501,502,70,2000,58235.30078125,240.0
503,325,75,3000,9021.0,360.0
504,503,75,3000,7290.6298828125,360.0
504,25,70,2000,151205.0,240.0
505,631,75,4000,180462.0,480.0
506,505,75,2000,25119.900390625,240.0
507,566,65,2000,124533.0,240.0
506,507,75,2000,120482.0,240.0
508,601,55,4000,25374.30078125,480.0
509,508,70,2000,132084.0,240.0
510,640,75,4000,79328.0,480.0
509,510,70,2000,115689.0,240.0
512,511,75,2000,14529.7001953125,240.0
513,426,40,2000,11508.7001953125,240.0
512,513,75,2000,38555.69921875,240.0
514,333,65,4000,49264.8984375,480.0
515,514,75,4000,2674.85009765625,480.0
516,333,55,4000,7612.02978515625,480.0
515,516,75,4000,45564.0,480.0
517,322,70,4000,56443.69921875,480.0
518,193,75,4000,238265.0,480.0
517,518,70,2000,3025.590087890625,240.0
519,538,75,2000,259353.0,240.0
520,519,55,2000,29782.80078125,240.0
520,644,75,2000,145600.0,240.0
521,397,75,8000,121088.0,960.0
522,521,70,2000,10970.400390625,240.0
522,469,75,4000,138294.0,480.0
523,326,75,4000,41533.19921875,480.0
524,523,70,2000,117536.0,240.0
525,240,70,2000,20444.69921875,240.0
524,525,70,2000,39418.69921875,240.0
526,127,60,3000,16318.0,360.0
527,526,55,4000,13306.7001953125,480.0
528,127,45,4000,27513.19921875,480.0
527,528,70,2000,8420.6103515625,240.0
529,508,55,4000,64065.8984375,480.0
530,529,55,4000,4731.75,480.0
530,451,55,4000,61948.0,480.0
531,26,70,2000,112020.0,240.0
532,531,55,2000,6558.22998046875,240.0
533,503,75,12000,164186.0,1440.0
532,533,70,2000,7095.169921875,240.0
534,493,75,4000,90349.796875,480.0
535,312,70,4000,91013.0,480.0
534,535,75,4000,2362.14990234375,480.0
536,185,50,2000,39859.5,240.0
537,536,50,2000,23138.099609375,240.0
537,186,40,2000,35116.30078125,240.0
538,331,70,4000,129026.0,480.0
539,538,75,2000,26034.400390625,240.0
540,368,75,2000,271856.0,240.0
539,540,75,2000,62371.8984375,240.0
541,189,60,2000,22298.69921875,240.0
542,354,55,6000,824.4920043945312,720.0
541,542,65,4000,114130.0,480.0
543,175,65,2000,67528.5,240.0
544,543,65,2000,28105.5,240.0
544,256,65,2000,64820.69921875,240.0
545,254,65,4000,128924.0,480.0
546,545,55,2000,110487.0,240.0
547,30,65,4000,39709.69921875,480.0
546,547,65,2000,6055.64013671875,240.0
548,265,55,2000,1532.81005859375,240.0
549,233,85,4000,18099.0,480.0
548,549,65,2000,120818.0,240.0
550,533,75,8000,34635.8984375,960.0
551,550,70,2000,133881.0,240.0
552,461,75,4000,79240.296875,480.0
551,552,70,2000,110137.0,240.0
553,444,55,2000,72910.703125,240.0
554,553,70,2000,109760.0,240.0
555,439,70,4000,83618.6015625,480.0
554,555,55,2000,74166.1015625,240.0
556,348,70,2000,25971.400390625,240.0
557,556,70,2000,59872.69921875,240.0
558,217,75,10000,67153.703125,1200.0
559,558,75,2000,24531.0,240.0
560,345,75,4000,120959.0,480.0
559,560,55,2000,1746.569946289062,240.0
561,342,70,2000,157661.0,240.0
562,561,70,2000,3924.669921875,240.0
562,251,70,2000,157236.0,240.0
563,346,70,2000,25642.0,240.0
564,563,70,2000,32277.5,240.0
565,155,65,4000,130005.0,480.0
564,565,65,2000,23695.0,240.0
566,118,45,2000,13644.099609375,240.0
567,566,55,2000,78939.0,240.0
568,109,65,4000,141853.0,480.0
567,568,55,2000,70357.203125,240.0
569,494,60,6000,38342.8984375,720.0
570,484,75,4000,188944.0,480.0
571,570,70,2000,54569.30078125,240.0
572,73,70,2000,192141.0,240.0
571,572,70,2000,123432.0,240.0
574,573,70,2000,90081.8984375,240.0
574,575,75,2000,48822.69921875,240.0
576,637,45,3000,33840.19921875,360.0
577,576,55,2000,288.4089965820312,240.0
577,192,35,4000,27543.80078125,480.0
578,552,70,2000,145049.0,240.0
579,463,70,2000,27839.80078125,240.0
578,579,60,2000,5458.31005859375,240.0
580,120,60,2000,20033.5,240.0
581,580,75,2000,140034.0,240.0
582,112,75,2000,251.97900390625,240.0
581,582,75,2000,150643.0,240.0
583,525,50,4000,46691.0,480.0
584,583,70,2000,103888.0,240.0
584,585,70,4000,112242.0,480.0
586,142,75,4000,155164.0,480.0
587,586,75,2000,2204.02001953125,240.0
588,558,75,10000,64824.6015625,1200.0
587,588,75,2000,82649.203125,240.0
589,418,75,2000,120800.0,240.0
590,362,70,2000,107871.0,240.0
589,590,75,2000,8805.2802734375,240.0
591,204,55,4000,7134.490234375,480.0
592,591,50,4000,38990.3984375,480.0
593,409,75,4000,141574.0,480.0
592,593,65,4000,16537.30078125,480.0
594,357,70,3000,71278.0,360.0
595,594,70,2000,9499.51953125,240.0
596,347,30,2000,89825.6015625,240.0
595,596,70,3000,65929.796875,360.0
597,43,70,2000,160079.0,240.0
598,597,75,2000,2836.530029296875,240.0
598,145,55,2000,15836.2998046875,240.0
599,451,55,4000,91306.8984375,480.0
600,603,55,4000,152567.0,480.0
599,600,55,4000,10092.2001953125,480.0
601,204,70,4000,72883.296875,480.0
602,601,55,4000,325.6960144042969,480.0
603,202,55,4000,102293.0,480.0
602,603,60,2000,58938.3984375,240.0
604,237,75,4000,52535.5,480.0
605,604,75,2000,4004.860107421875,240.0
606,588,75,10000,146255.0,1200.0
605,606,75,2000,49615.5,240.0
607,73,75,2000,178451.0,240.0
608,607,75,2000,1920.2099609375,240.0
609,222,75,2000,202375.0,240.0
608,609,75,2000,66323.203125,240.0
610,540,75,2000,26852.900390625,240.0
611,610,75,2000,15761.5,240.0
611,413,75,2000,33070.69921875,240.0
612,315,55,4000,4720.0,480.0
613,612,65,4000,926.5029907226562,480.0
614,315,65,4000,497.7420043945312,480.0
613,614,65,4000,4784.64990234375,480.0
615,321,70,2000,99764.6015625,240.0
616,615,70,2000,95322.0,240.0
617,85,65,4000,8595.7998046875,480.0
616,617,70,4000,10428.0,480.0
618,110,50,2000,86625.796875,240.0
619,69,55,2000,59223.69921875,240.0
618,619,30,4000,8086.31005859375,480.0
620,469,75,6000,164465.0,720.0
621,620,55,4000,11028.400390625,480.0
622,82,65,6000,47440.19921875,720.0
621,622,55,2000,104979.0,240.0
623,124,35,4000,6567.4501953125,480.0
624,623,40,4000,5311.35009765625,480.0
625,121,75,4000,65127.8984375,480.0
624,625,75,2000,5002.4599609375,240.0
626,568,65,2000,294866.0,240.0
627,626,75,2000,47302.3984375,240.0
628,99,55,2000,42595.30078125,240.0
628,263,65,3000,13735.900390625,360.0
629,493,75,4000,57923.69921875,480.0
632,441,70,4000,38776.1015625,480.0
62,458,55,2000,51087.30078125,240.0
19,294,40,6000,9490.0595703125,720.0
41,33,30,4000,7898.169921875,480.0
68,41,35,4000,20667.30078125,480.0
69,110,55,8000,40862.8984375,960.0
635,634,70,12000,66683.5,1440.0
635,41,65,6000,109195.0,720.0
235,264,70,4000,96842.703125,480.0
638,206,55,4000,214.3679962158203,480.0
638,1,50,4000,2542.1201171875,480.0
89,677,65,10000,855.1179809570312,1200.0
639,51,70,3000,58866.69921875,360.0
274,358,65,12000,45506.80078125,1440.0
640,20,75,4000,94995.296875,480.0
640,638,75,4000,49286.80078125,480.0
16,26,70,4000,9470.0302734375,480.0
222,135,75,2000,4168.02001953125,240.0
26,355,70,2000,115930.0,240.0
641,369,69,3000,78946.296875,360.0
642,237,75,8000,13850.0,960.0
137,642,70,2000,3774.169921875,240.0
643,138,50,4000,10829.099609375,480.0
148,303,70,4000,46745.30078125,480.0
185,188,65,4000,55404.80078125,480.0
14,186,65,4000,2704.169921875,480.0
77,34,75,2000,18105.0,240.0
34,222,75,2000,193152.0,240.0
136,77,75,2000,93656.296875,240.0
117,630,75,2000,177726.0,240.0
121,630,75,8000,118737.0,960.0
644,491,55,2000,1106.359985351562,240.0
644,489,70,4000,3042.830078125,480.0
141,104,70,2000,6697.0,240.0
419,104,50,4000,54966.0,480.0
646,622,65,8000,11908.2998046875,960.0
675,646,75,4000,65942.203125,480.0
649,675,65,8000,8539.7001953125,1342.6
657,351,65,14000,27594.599609375,1680.0
675,650,65,8000,102691.0,10852.87
649,620,65,10000,75043.3984375,1200.0
676,675,75,4000,6622.06005859375,480.0
676,649,65,10000,5130.4599609375,1200.0
677,655,65,10000,9413.830078125,1200.0
677,676,75,4000,127037.0,480.0
655,332,65,10000,73760.0,1200.0
351,332,65,14000,33741.0,1680.0
669,274,65,12000,17867.400390625,1440.0
332,288,65,6000,1408.630004882812,720.0
667,351,65,14000,39520.6015625,1680.0
685,401,60,4000,65762.5,480.0
662,685,60,4000,1503.079956054688,480.0
686,667,65,14000,5996.27001953125,1680.0
666,686,65,14000,4036.47998046875,1680.0
661,272,65,12000,52212.3984375,1440.0
664,475,60,8000,46899.80078125,960.0
670,353,45,6000,19112.0,720.0
24,37,60,4000,44693.30078125,480.0
553,201,55,2000,6614.240234375,240.0
384,203,60,4000,6953.77001953125,480.0
272,29,55,6000,4213.14013671875,720.0
488,50,70,2000,240878.0,240.0
483,158,70,4000,118707.0,480.0
256,633,70,2000,205714.0,240.0
358,95,65,6000,172207.0,720.0
516,99,65,8000,246518.0,960.0
335,101,75,10000,119531.0,1200.0
480,147,70,4000,43383.8984375,480.0
422,154,45,4000,31719.0,480.0
486,161,75,2000,138061.0,240.0
169,243,60,4000,272433.0,480.0
82,21,65,8000,29966.0,960.0
24,9,60,4000,82706.0,480.0
344,343,75,4000,20735.900390625,480.0
398,342,75,2000,1567.569946289062,240.0
141,343,70,2000,98128.8984375,240.0
324,323,55,4000,15721.7001953125,480.0
436,207,70,4000,112027.0,480.0
386,209,70,6000,93313.796875,720.0
175,256,75,4000,34701.19921875,480.0
575,45,75,10000,93166.703125,1200.0
514,240,75,4000,135820.0,480.0
406,334,30,2000,27854.099609375,240.0
478,335,45,4000,5942.85986328125,480.0
249,327,70,4000,102373.0,480.0
359,87,55,6000,83693.6015625,720.0
16,323,70,4000,49504.19921875,480.0
230,227,70,2000,16737.099609375,240.0
641,335,75,10000,116810.0,1200.0
148,230,65,4000,125299.0,480.0
496,240,65,4000,202462.0,480.0
437,34,70,2000,65339.6015625,240.0
221,115,35,4000,11977.5,480.0
375,117,75,2000,101183.0,240.0
580,630,30,4000,97002.6015625,480.0
77,73,65,2000,15770.599609375,240.0
340,77,75,2000,173534.0,240.0
561,134,55,4000,162458.0,480.0
